SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"COALINDIA","409.80","410.40","405.60","410.50","407.10","-","-3.4","-0.83","5000302","203.66","491.25","368.65","-4.78","5.89"
"KALYANKJIL","614.45","619.70","605.00","613.40","608.25","-","-5.15","-0.84","7183291","439.81","648.95","327.05","10.97","14.01"
"IRFC","88.20","88.50","87.50","88.35","87.57","-","-0.78","-0.88","3841249","33.72","137.17","86.02","-1.46","-29.66"
"FORCEMOT","18,539.00","18,666.00","18,318.00","18,525.00","18,361.00","-","-164","-0.89","48067","88.46","26,450.00","14,911.00","-0.38","-6.67"
"UPL","568.20","568.20","558.05","568.15","563.00","-","-5.15","-0.91","1557252","87.41","812.20","558.05","-5.74","-17.66"
"SHRIRAMFIN","1,130.00","1,134.90","1,118.00","1,132.30","1,122.00","-","-10.3","-0.91","2463317","277.58","1,153.70","566.50","8.53","82.01"
"COFORGE","1,830.00","1,836.40","1,804.20","1,829.00","1,812.00","-","-17","-0.93","1580043","286.92","1,989.70","1,008.10","18.18","10.35"
"SBILIFE","1,812.80","1,820.90","1,789.40","1,812.00","1,795.00","-","-17","-0.94","564182","101.35","2,132.00","1,700.40","-3.83","-2.48"
"IREDA","117.01","117.70","116.15","117.40","116.25","-","-1.15","-0.98","3365825","39.22","163.35","108.65","-4.21","-19.19"
"IDFCFIRSTB","86.42","86.52","85.53","86.55","85.69","-","-0.86","-0.99","7407001","63.63","88.76","58.08","7.83","24.6"
"SONACOMS","795.70","798.80","790.00","799.90","792.00","-","-7.9","-0.99","909039","72.25","836.90","402.30","18.35","75.28"
"TATACONSUM","1,090.50","1,093.40","1,079.50","1,090.50","1,079.50","-","-11","-1.01","1039725","112.91","1,282.70","1,007.20","-0.55","2.69"
"BRITANNIA","5,614.50","5,630.00","5,550.00","5,615.00","5,558.00","-","-57","-1.02","246713","137.95","6,336.00","5,035.00","4.56","4.82"
"HEROMOTOCO","5,830.00","5,849.00","5,765.00","5,850.00","5,790.00","-","-60","-1.03","508239","295.06","6,388.50","4,650.20","18.74","22.98"
"NAUKRI","1,365.00","1,367.10","1,337.00","1,357.30","1,343.00","-","-14.3","-1.05","1048678","141.07","1,437.80","908.30","13.24","-1.64"
"KPITTECH","623.60","625.40","610.85","620.50","614.00","-","-6.5","-1.05","640338","39.44","1,328.00","543.00","11.31","-49.38"
"LTM","4,725.00","4,801.20","4,686.10","4,765.00","4,715.00","-","-50","-1.05","189073","89.40","6,429.50","3,528.00","16.4","0"
"SUZLON","47.40","47.44","47.00","47.61","47.10","-","-0.51","-1.07","25913687","122.26","63.80","38.19","-10.15","-21.58"
"BHARATFORG","2,088.00","2,090.70","2,052.60","2,088.00","2,065.00","-","-23","-1.1","804954","166.35","2,295.00","1,100.50","-1.69","74.93"
"INDIGO","5,370.00","5,370.00","5,310.00","5,370.00","5,310.00","-","-60","-1.12","184350","98.40","6,232.50","3,895.20","2.69","-11.54"
"DABUR","408.00","410.45","405.25","410.00","405.25","-","-4.75","-1.16","1463543","59.78","577.00","403.35","-6.04","-19.1"
"MUTHOOTFIN","2,875.70","2,883.00","2,841.30","2,875.70","2,842.00","-","-33.7","-1.17","514052","146.57","4,149.50","2,476.60","-5.78","3.07"
"SIEMENS","3,968.10","4,052.00","3,924.00","3,987.00","3,940.00","-","-47","-1.18","299051","118.99","4,097.90","2,826.00","10.31","24.33"
"PNBHOUSING","1,163.00","1,166.00","1,146.70","1,164.80","1,150.50","-","-14.3","-1.23","207572","23.97","1,174.80","729.60","4.2","50"
"NTPC","343.65","343.65","337.50","344.25","340.00","-","-4.25","-1.23","7507624","254.85","414.40","315.55","-1.26","0.19"
"SBICARD","641.20","642.95","629.00","641.00","633.00","-","-8","-1.25","1566601","99.30","965.00","565.45","-1.15","-19.81"
